ProductID,Name,Price,Info,Image,Category,Sold
AS00,"BÀO NGƯ NHẬT BẢN SASHIMI
",738000," Được chế biến từ nguyên liệu tươi ngon và tinh hoa của nghệ thuật ẩm thực Nhật Bản, mỗi miếng sashimi bào ngư sẽ tan chảy trên đầu lưỡi với hương vị đậm đà, ngọt ngào và mềm mại.","shashimisushi0
","Shashimisushi
",103
AS01,"BẠCH TUÔC NHỎ
",680000,"Với chất lượng tươi ngon và vị ngọt tự nhiên, món ăn này sẽ làm say đắm vị giác của bạn và mang đến một cảm giác xa hoa và sang trọng.",shashimisushi1,Shashimisushi,120
AS02,"BÁCH TUỘC TRỘN GIẤM
",268000,"Sự kết hợp tuyệt vời giữa vị chua, ngọt và mùi thơm của giấm tạo nên một trải nghiệm ẩm thực đặc biệt. Thưởng thức món này sẽ mang đến cho bạn cảm giác sảng khoái và hài lòng.",shashimisushi2,Shashimisushi,23
AS03,"BẠCH TUỘC ƯỚP WASABI
",890000,"Với bạch tuộc ướp wasabi, bạn sẽ được trải nghiệm một hương vị cay nồng, đậm đà và sảng khoái. Khi kết hợp với vị đặc trưng của wasabi, món ăn này sẽ làm cho vị giác của bạn thêm phần hưng phấn và độc đáo.",shashimisushi3,Shashimisushi,23
AS04,"CÁ HỒI SỐNG
",990000,"Với hương vị tươi mát, thịt mềm mịn và màu sắc hấp dẫn, món cá này sẽ khiến bạn thưởng thức những trải nghiệm ẩm thực đặc biệt và đẳng cấp.",shashimisushi4,Shashimisushi,58
AS05,"CÁ NGỪ, CÁ HỒI, NGAO BIỂN SỐNG VÀ CƠM SUSHI TỔNG HỢP
",238000,"Đắm chìm trong sự đa dạng và phong phú của cá ngừ, cá hồi, ngao biển sống và cơm sushi tổng hợp tại nhà hàng cao cấp.",shashimisushi5,Shashimisushi,56
AS06,"10 LOẠI CÁ SỐNG TỔNG HỢP
",238000,"Từ cá ngừ, cá hồi, cá trích đến các loại cá khác, mỗi miếng cá sẽ mang đến cho bạn hương vị tươi mát, ngon lành và độc đáo, kích thích vị giác và làm say đắm trái tim của bạn.",shashimisushi6,Shashimisushi,23
AS07,"12 LOẠI CÁ SỐNG TỔNG HỢP
",238000,"Với chất lượng tươi ngon và màu sắc tươi sáng, mỗi miếng cá sẽ mang đến cho bạn một trải nghiệm ẩm thực đẳng cấp và độc đáo.",shashimisushi7,Shashimisushi,48
AS08,"6 LOẠI CÁ SỐNG TỔNG HỢP
",188000,"Từ cá trích, cá hồi đến các loại cá khác, mỗi miếng cá tươi ngon sẽ mang đến hương vị tinh tế, đa dạng và thú vị.",shashimisushi8,Shashimisushi,22
AS09,"8 LOẠI CÁ SỐNG TỔNG HỢP
",118000,"Từ cá trích, cá hồi đến các loại cá khác, mỗi miếng cá sẽ mang đến hương vị tươi mát, ngon lành và đặc biệt, kích thích vị giác và làm say đắm trái tim của bạn.",shashimisushi9,Shashimisushi,15
AS10,"CÁ TRÍCH, CÁ HỒI, BẠCH TUỘC SỐNG VÀ CƠM SUSHI
",420000,"Mỗi miếng sushi được chế biến tinh tế và kết hợp các nguyên liệu tươi ngon, mang đến hương vị tinh tế và độc đáo.",shashimisushi10,Shashimisushi,23
AS11,"CÁ TRÍCH, CÁ HỒI, TÔM NHẬT, BẠCH TUỘC, TRỨNG CS HỒI SỐNG VÀ CƠM SUSHI TỔNG HỢP
",420000,"Thưởng thức sự kết hợp độc đáo và hương vị phong phú của cá trích, cá hồi, tôm Nhật, bạch tuộc, trứng cá hồi sống và cơm sushi tổng hợp.",shashimisushi11,Shashimisushi,23
CC00,"CHÁO CUA
",80000,"Bạn sẽ được hòa mình trong hương vị đặc trưng của cua, cùng với sự ấm áp và ngọt ngào của cháo. Món ăn này thường được trang trí với các thành phần tươi ngon khác như hành, rau mùi, tiêu, tạo nên một trải nghiệm ẩm thực tuyệt vời.","comchao0
",Noodlerice,65
CC01,"CHÁO CÁ HỒI
",60000,"Sự kết hợp hoàn hảo giữa cá hồi tươi ngon và cháo mềm mịn. Cá hồi thơm ngon được chế biến thành từng miếng nhỏ, kết hợp với hương vị đặc trưng của cháo, tạo nên một món ăn hấp dẫn và ngon miệng.","comchao1
",Noodlerice,66
CC02,"CHÁO HÀO 
",48000,"Hào tươi ngon được chế biến thành những miếng nhỏ, kết hợp với hương vị độc đáo của cháo, tạo nên một món ăn thanh nhẹ và đậm đà. ","comchao2
",Noodlerice,63
CC03,"CHÁO NGAO
",45000,"Mang đến hương vị đặc biệt của ngao cùng sự ấm áp và ngọt ngào của cháo, là một lựa chọn tuyệt vời cho những người yêu thích hương vị biển.","comchao3
",Noodlerice,96
